Ocuarb_v01_G000208.t0	Ocuarb_v01_G000208
Ocuarb_v01_G000209.t0	Ocuarb_v01_G000209
Ocuarb_v01_G000210.t0	Ocuarb_v01_G000210
Ocuarb_v01_G000211.t0	Ocuarb_v01_G000211
Ocuarb_v01_G000214.t0	Ocuarb_v01_G000214
Ocuarb_v01_G000215.t0	Ocuarb_v01_G000215
Ocuarb_v01_G000216.t0	Ocuarb_v01_G000216
Ocuarb_v01_G000218.t0	Ocuarb_v01_G000218
Ocuarb_v01_G000219.t0	Ocuarb_v01_G000219
Ocuarb_v01_G000220.t0	Ocuarb_v01_G000220
Ocuarb_v01_G000221.t0	Ocuarb_v01_G000221
Ocuarb_v01_G000221.t1	Ocuarb_v01_G000221
Ocuarb_v01_G000222.t0	Ocuarb_v01_G000222
Ocuarb_v01_G000223.t0	Ocuarb_v01_G000223
Ocuarb_v01_G000224.t0	Ocuarb_v01_G000224
Ocuarb_v01_G000227.t0	Ocuarb_v01_G000227
Ocuarb_v01_G000230.t0	Ocuarb_v01_G000230
Ocuarb_v01_G000233.t0	Ocuarb_v01_G000233
Ocuarb_v01_G000234.t0	Ocuarb_v01_G000234
Ocuarb_v01_G000235.t0	Ocuarb_v01_G000235
Ocuarb_v01_G000236.t0	Ocuarb_v01_G000236
Ocuarb_v01_G000237.t0	Ocuarb_v01_G000237
Ocuarb_v01_G000238.t0	Ocuarb_v01_G000238
Ocuarb_v01_G000239.t0	Ocuarb_v01_G000239
Ocuarb_v01_G000240.t0	Ocuarb_v01_G000240
Ocuarb_v01_G000241.t0	Ocuarb_v01_G000241
Ocuarb_v01_G000242.t0	Ocuarb_v01_G000242
Ocuarb_v01_G000243.t0	Ocuarb_v01_G000243
Ocuarb_v01_G000244.t0	Ocuarb_v01_G000244
Ocuarb_v01_G000245.t0	Ocuarb_v01_G000245
Ocuarb_v01_G000247.t0	Ocuarb_v01_G000247
Ocuarb_v01_G000248.t0	Ocuarb_v01_G000248
Ocuarb_v01_G000249.t0	Ocuarb_v01_G000249
Ocuarb_v01_G000250.t0	Ocuarb_v01_G000250
Ocuarb_v01_G000251.t0	Ocuarb_v01_G000251
Ocuarb_v01_G000252.t0	Ocuarb_v01_G000252
Ocuarb_v01_G000253.t0	Ocuarb_v01_G000253
Ocuarb_v01_G000254.t0	Ocuarb_v01_G000254
Ocuarb_v01_G000255.t0	Ocuarb_v01_G000255
Ocuarb_v01_G000256.t0	Ocuarb_v01_G000256
Ocuarb_v01_G000257.t0	Ocuarb_v01_G000257
Ocuarb_v01_G000258.t0	Ocuarb_v01_G000258
Ocuarb_v01_G000259.t0	Ocuarb_v01_G000259
Ocuarb_v01_G000260.t0	Ocuarb_v01_G000260
Ocuarb_v01_G000261.t0	Ocuarb_v01_G000261
Ocuarb_v01_G000262.t0	Ocuarb_v01_G000262
Ocuarb_v01_G000263.t0	Ocuarb_v01_G000263
Ocuarb_v01_G000264.t0	Ocuarb_v01_G000264
Ocuarb_v01_G000265.t0	Ocuarb_v01_G000265
Ocuarb_v01_G000266.t0	Ocuarb_v01_G000266
Ocuarb_v01_G000267.t0	Ocuarb_v01_G000267
