Xesp_000411-T1	Xesp_000411
Xesp_000412-T1	Xesp_000412
Xesp_000413-T1	Xesp_000413
Xesp_000414-T1	Xesp_000414
Xesp_000415-T1	Xesp_000415
Xesp_000416-T1	Xesp_000416
Xesp_000417-T1	Xesp_000417
Xesp_000418-T1	Xesp_000418
Xesp_000419-T1	Xesp_000419
Xesp_000420-T1	Xesp_000420
Xesp_000421-T1	Xesp_000421
Xesp_000422-T1	Xesp_000422
Xesp_000423-T1	Xesp_000423
Xesp_000424-T1	Xesp_000424
Xesp_000425-T1	Xesp_000425
Xesp_000426-T1	Xesp_000426
Xesp_000427-T1	Xesp_000427
Xesp_000428-T1	Xesp_000428
Xesp_000429-T1	Xesp_000429
Xesp_000430-T1	Xesp_000430
Xesp_000431-T1	Xesp_000431
Xesp_000432-T1	Xesp_000432
Xesp_000433-T1	Xesp_000433
Xesp_000434-T1	Xesp_000434
Xesp_000435-T1	Xesp_000435
Xesp_000436-T1	Xesp_000436
Xesp_000437-T1	Xesp_000437
Xesp_000438-T1	Xesp_000438
Xesp_000439-T1	Xesp_000439
Xesp_000440-T1	Xesp_000440
Xesp_000441-T1	Xesp_000441
Xesp_000442-T1	Xesp_000442
Xesp_000443-T1	Xesp_000443
Xesp_000444-T1	Xesp_000444
Xesp_000445-T1	Xesp_000445
Xesp_000446-T1	Xesp_000446
Xesp_000447-T1	Xesp_000447
Xesp_000448-T1	Xesp_000448
Xesp_000449-T1	Xesp_000449
Xesp_000450-T1	Xesp_000450
Xesp_000451-T1	Xesp_000451
Xesp_000452-T1	Xesp_000452
Xesp_000453-T1	Xesp_000453
Xesp_000454-T1	Xesp_000454
Xesp_000455-T1	Xesp_000455
Xesp_000456-T1	Xesp_000456
Xesp_000457-T2	Xesp_000457
Xesp_000458-T1	Xesp_000458
Xesp_000459-T1	Xesp_000459
Xesp_000460-T1	Xesp_000460
Xesp_000461-T1	Xesp_000461
Xesp_000462-T1	Xesp_000462
Xesp_000463-T1	Xesp_000463
Xesp_000464-T1	Xesp_000464
Xesp_000465-T1	Xesp_000465
Xesp_000466-T1	Xesp_000466
Xesp_000467-T1	Xesp_000467
Xesp_000468-T1	Xesp_000468
Xesp_000469-T1	Xesp_000469
Xesp_000470-T1	Xesp_000470
Xesp_000471-T1	Xesp_000471
Xesp_000472-T1	Xesp_000472
Xesp_000473-T1	Xesp_000473
Xesp_000474-T1	Xesp_000474
Xesp_000475-T1	Xesp_000475
Xesp_000476-T1	Xesp_000476
Xesp_000477-T1	Xesp_000477
Xesp_000478-T1	Xesp_000478
