metacell	metacell_annotation	color	metacell_top_cell_type	metacell_ann_cell_type	metacell_top_leiden	metacell_ann_leiden
mc.0122	digestive_filaments	pink3	digestive_filaments	digestive_filaments|0.91;epidermis_like_1|0.09	lc027	lc027|0.85;lc001|0.08
mc.0152	digestive_filaments	pink3	digestive_filaments	digestive_filaments|0.71;epidermis_like_1|0.17;epidermis_like_2|0.08	lc027	lc027|0.70;lc001|0.16;lc028|0.08
mc.0018	digestive_filaments	pink3	digestive_filaments	digestive_filaments|0.96	lc027	lc027|0.81;lc005|0.12
mc.0055	digestive_filaments	pink3	digestive_filaments	digestive_filaments|1.00	lc031	lc031|0.68;lc005|0.32
mc.0194	digestive_filaments	pink3	digestive_filaments	digestive_filaments|0.93;epidermis_like_1|0.07	lc031	lc031|0.68;lc005|0.24;lc001|0.07
mc.0197	digestive_filaments	pink3	digestive_filaments	digestive_filaments|1.00	lc031	lc031|0.51;lc005|0.48
mc.0141	digestive_filaments	pink3	digestive_filaments	digestive_filaments|1.00	lc031	lc031|0.81;lc005|0.19
mc.0189	digestive_filaments_like	pink4	digestive_filaments_like	digestive_filaments_like|0.55;gastrodermis_muscle_parietal_circular_prog|0.31;epidermis_like_1|0.13	lc029	lc029|0.47;lc035|0.27;lc001|0.13;lc042|0.08
mc.0033	digestive_filaments_like	pink4	digestive_filaments_like	digestive_filaments_like|0.58;digestive_filaments|0.31;epidermis_like_1|0.08	lc029	lc029|0.58;lc005|0.31;lc001|0.08
mc.0113	digestive_filaments_like	pink4	digestive_filaments_like	digestive_filaments_like|0.59;epidermis_like_1|0.35	lc042	lc042|0.45;lc001|0.35;lc029|0.14
mc.0079	digestive_filaments_like	pink4	digestive_filaments_like	digestive_filaments_like|0.89;epidermis_like_1|0.10	lc042	lc042|0.75;lc029|0.14;lc001|0.10
mc.0170	digestive_filaments_like	pink4	digestive_filaments_like	digestive_filaments_like|0.54;epidermis|0.25;epidermis_like_1|0.22	lc042	lc042|0.43;lc001|0.22;lc011|0.20;lc029|0.10
mc.0193	digestive_filaments_like	pink4	digestive_filaments_like	digestive_filaments_like|0.67;digestive_filaments|0.29	lc042	lc042|0.46;lc005|0.24;lc029|0.21
mc.0147	epidermis	cadetblue2	epidermis	epidermis|0.96	lc011	lc011|0.79;lc045|0.12
mc.0003	epidermis	cadetblue2	epidermis	epidermis|0.86;epidermis_like_1|0.10	lc011	lc011|0.85;lc001|0.10
mc.0202	epidermis	cadetblue2	epidermis	epidermis|0.99	lc011	lc011|0.64;lc034|0.26;lc045|0.09
mc.0037	epidermis	cadetblue2	epidermis	epidermis|0.89;epidermis_like_1|0.10	lc011	lc011|0.77;lc001|0.10;lc043|0.08
mc.0087	epidermis	cadetblue2	epidermis	epidermis|0.92;epidermis_like_1|0.07	lc011	lc011|0.91;lc001|0.07
mc.0227	epidermis	cadetblue2	epidermis	epidermis|0.70;epidermis_like_1|0.15;gastrodermis|0.10	lc015	lc015|0.62;lc001|0.15;lc037|0.10
mc.0041	epidermis	cadetblue2	epidermis	epidermis|1.00	lc015	lc015|1.00
mc.0167	epidermis	cadetblue2	epidermis	epidermis|1.00	lc015	lc015|1.00
mc.0065	epidermis	cadetblue2	epidermis	epidermis|1.00	lc015	lc015|0.96
mc.0144	epidermis	cadetblue2	epidermis	epidermis|0.78;gastrodermis|0.20	lc015	lc015|0.78;lc037|0.11;lc006|0.09
